 id, jobs, machines, opt, makespan, guaranteed_ratio, runtime_ms, approximation_alg, fptas_alg, shelves_alg, nb_big_jobs, nb_small_jobs
 1745073307308,1000,1582,59.20629690148587,84.0,RATIO_10_7,16072,TwoApproximation,CompressionApproach,OhnesorgeApproach,880,120
 1745073326203,1000,1854,55.14164125263498,78.0,RATIO_10_7,18100,TwoApproximation,CompressionApproach,OhnesorgeApproach,909,91
 1745073347102,1000,1769,57.076617165970355,81.0,RATIO_10_7,18761,TwoApproximation,CompressionApproach,OhnesorgeApproach,896,104
 1745073368435,1000,1352,66.90723464051646,95.0,RATIO_10_7,13614,TwoApproximation,CompressionApproach,OhnesorgeApproach,831,169
 1745073384536,1000,1182,71.39465193256305,101.0,RATIO_10_7,10328,TwoApproximation,CompressionApproach,OhnesorgeApproach,801,200
 1745073400360,1000,1981,52.46347968666197,74.0,RATIO_10_7,17244,TwoApproximation,CompressionApproach,OhnesorgeApproach,907,94
 1745073420762,1000,1874,55.14189429674994,78.0,RATIO_10_7,17240,TwoApproximation,CompressionApproach,OhnesorgeApproach,895,105
 1745073440893,1000,1724,56.13538191766584,80.0,RATIO_10_7,17808,TwoApproximation,CompressionApproach,OhnesorgeApproach,898,102
 1745073461336,1000,1190,69.02857673869414,98.0,RATIO_10_7,13418,TwoApproximation,CompressionApproach,OhnesorgeApproach,802,198
 1745073477712,1000,1969,54.06743304483658,77.0,RATIO_10_7,23088,TwoApproximation,CompressionApproach,OhnesorgeApproach,894,106
 1745073503902,1000,1153,70.38364465321445,100.0,RATIO_10_7,12050,TwoApproximation,CompressionApproach,OhnesorgeApproach,783,217
 1745073518404,1000,642,95.05952598001355,135.0,RATIO_10_7,5900,TwoApproximation,CompressionApproach,OhnesorgeApproach,661,339
 1745073526689,1000,1622,59.91574290942322,85.0,RATIO_10_7,14651,TwoApproximation,CompressionApproach,OhnesorgeApproach,868,132
 1745073546606,1000,1022,77.00044051915,110.0,RATIO_10_7,9013,TwoApproximation,CompressionApproach,OhnesorgeApproach,777,224
 1745073558090,1000,1279,68.42911363114035,97.0,RATIO_10_7,9606,TwoApproximation,CompressionApproach,OhnesorgeApproach,827,174
 1745073570205,1000,1455,62.064471120932666,88.0,RATIO_10_7,11547,TwoApproximation,CompressionApproach,OhnesorgeApproach,842,158
 1745073584360,1000,869,82.35328403907486,117.0,RATIO_10_7,9005,TwoApproximation,CompressionApproach,OhnesorgeApproach,716,284
 1745073596589,1000,966,78.80520971073128,112.0,RATIO_10_7,8479,TwoApproximation,CompressionApproach,OhnesorgeApproach,739,262
 1745073607561,1000,1939,53.362693530865215,76.0,RATIO_10_7,16839,TwoApproximation,CompressionApproach,OhnesorgeApproach,920,81
 1745073627056,1000,794,86.32816285870838,123.0,RATIO_10_7,5605,TwoApproximation,CompressionApproach,OhnesorgeApproach,689,312
 1745073635201,1000,1828,56.01129272469285,80.0,RATIO_10_7,21493,TwoApproximation,CompressionApproach,OhnesorgeApproach,897,103
 1745073659211,1000,876,84.1556423657561,120.0,RATIO_10_7,7891,TwoApproximation,CompressionApproach,OhnesorgeApproach,727,273
 1745073669554,1000,1713,59.305359866559265,84.0,RATIO_10_7,18376,TwoApproximation,CompressionApproach,OhnesorgeApproach,880,121
 1745073690411,1000,618,98.70280219513236,141.0,RATIO_10_7,4050,TwoApproximation,CompressionApproach,OhnesorgeApproach,624,376
 1745073697450,1000,1458,61.90265912970398,88.0,RATIO_10_7,12531,TwoApproximation,CompressionApproach,OhnesorgeApproach,860,140
 1745073712808,1000,811,87.79679943983123,125.0,RATIO_10_7,5759,TwoApproximation,CompressionApproach,OhnesorgeApproach,700,300
 1745073721549,1000,1302,66.24793834071005,94.0,RATIO_10_7,10158,TwoApproximation,CompressionApproach,OhnesorgeApproach,824,176
 1745073734690,1000,947,78.00713882526853,111.0,RATIO_10_7,7852,TwoApproximation,CompressionApproach,OhnesorgeApproach,725,276
 1745073745262,1000,1371,65.41624363872103,93.0,RATIO_10_7,11977,TwoApproximation,CompressionApproach,OhnesorgeApproach,860,141
 1745073760632,1000,1320,65.41433256322688,93.0,RATIO_10_7,11682,TwoApproximation,CompressionApproach,OhnesorgeApproach,834,167
 1745073776189,1000,1884,56.47030665565702,80.0,RATIO_10_7,16672,TwoApproximation,CompressionApproach,OhnesorgeApproach,882,119
 1745073796385,1000,1598,60.286737582859615,86.0,RATIO_10_7,15247,TwoApproximation,CompressionApproach,OhnesorgeApproach,875,125
 1745073815452,1000,1907,54.21694911082628,77.0,RATIO_10_7,17100,TwoApproximation,CompressionApproach,OhnesorgeApproach,919,82
 1745073835060,1000,920,81.57551097040593,116.0,RATIO_10_7,6975,TwoApproximation,CompressionApproach,OhnesorgeApproach,743,258
 1745073845102,1000,1859,54.22750430956138,77.0,RATIO_10_7,16814,TwoApproximation,CompressionApproach,OhnesorgeApproach,904,96
