InstanceID,"_id","_index","_score","_type",achivedMakespan,approximation,bigJobs,estimatedOptimum,fptas,jobs,machines,milliseconds,shelvesAlgo,smallJobs
"1,677,348,799,922",zegsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",49,TwoApproximation,35,"34.746",DoubleCompressionApproach,35,62,"11,533",KilianApproach,0
"1,677,348,811,465",zugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",57,TwoApproximation,33,"38.366",DoubleCompressionApproach,33,52,"6,399",KilianApproach,0
"1,677,348,817,875","z-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",54,TwoApproximation,43,"36.363",DoubleCompressionApproach,43,69,"13,549",KilianApproach,0
"1,677,348,831,435",0OgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",53,TwoApproximation,32,"36.118",DoubleCompressionApproach,32,50,"5,125",KilianApproach,0
"1,677,348,837,737",0egsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",53,TwoApproximation,33,"36.196",DoubleCompressionApproach,33,52,"4,597",KilianApproach,0
"1,677,348,842,344",0ugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",46,TwoApproximation,37,"31.08",DoubleCompressionApproach,37,66,"11,861",KilianApproach,0
"1,677,348,854,217","0-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",79,TwoApproximation,41,"53.195",DoubleCompressionApproach,47,53,"5,532",KilianApproach,6
"1,677,348,859,763",1OgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",67,TwoApproximation,48,"44.297",DoubleCompressionApproach,49,62,"12,496",KilianApproach,1
"1,677,348,872,272",1egsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",55,TwoApproximation,32,"36.124",DoubleCompressionApproach,32,50,"4,137",KilianApproach,0
"1,677,348,936,416",1ugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",41,TwoApproximation,34,"27.61",DoubleCompressionApproach,34,63,"11,397",KilianApproach,0
"1,677,348,947,824","1-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",65,TwoApproximation,39,"43.519",DoubleCompressionApproach,40,52,"5,219",KilianApproach,1
"1,677,348,953,055",2OgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",47,TwoApproximation,36,"31.793",DoubleCompressionApproach,36,64,"8,648",KilianApproach,0
"1,677,348,961,714",2egsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",55,TwoApproximation,43,"36.908",DoubleCompressionApproach,43,67,"15,473",KilianApproach,0
"1,677,348,977,199",2ugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",60,TwoApproximation,47,"40.165",DoubleCompressionApproach,47,67,"12,603",KilianApproach,0
"1,677,348,990,998","2-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",51,TwoApproximation,31,"34.151",DoubleCompressionApproach,31,50,"4,534",KilianApproach,0
"1,677,348,995,541",3OgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",64,TwoApproximation,38,"42.825",DoubleCompressionApproach,39,51,"6,515",KilianApproach,1
"1,677,349,002,069",3egsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",55,TwoApproximation,39,"36.184",DoubleCompressionApproach,39,66,"16,018",KilianApproach,0
"1,677,349,018,098",3ugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",63,TwoApproximation,36,"42.664",DoubleCompressionApproach,39,52,"5,177",KilianApproach,3
"1,677,349,023,281","3-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",72,TwoApproximation,46,"48.57",DoubleCompressionApproach,49,58,"8,326",KilianApproach,3
"1,677,349,031,622",4OgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",87,TwoApproximation,44,"57.607",DoubleCompressionApproach,48,53,"6,538",KilianApproach,4
"1,677,349,038,173",4egsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",71,TwoApproximation,45,"47.219",DoubleCompressionApproach,48,60,"9,059",KilianApproach,3
"1,677,349,047,246",4ugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",79,TwoApproximation,42,"52.305",DoubleCompressionApproach,45,53,"5,549",KilianApproach,3
"1,677,349,052,808","4-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",68,TwoApproximation,49,"45.683",DoubleCompressionApproach,49,64,"9,629",KilianApproach,0
"1,677,349,062,461",5OgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",52,TwoApproximation,36,"35.329",DoubleCompressionApproach,36,57,"6,856",KilianApproach,0
"1,677,349,070,666",5egsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",75,TwoApproximation,44,"50.113",DoubleCompressionApproach,45,54,"6,083",KilianApproach,1
"1,677,349,136,762",5ugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",42,TwoApproximation,32,"28.839",DoubleCompressionApproach,32,68,"14,798",KilianApproach,0
"1,677,349,151,567","5-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",74,TwoApproximation,39,"49.965",DoubleCompressionApproach,43,50,"4,654",KilianApproach,4
"1,677,349,156,235",6OgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",73,TwoApproximation,44,"48.12",DoubleCompressionApproach,46,60,"9,069",KilianApproach,2
"1,677,349,165,320",6egsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",39,TwoApproximation,33,"26.419",DoubleCompressionApproach,33,68,"15,932",KilianApproach,0
